,font_size,pixel_count,horizontal_shift,vertical_shift,letter_width,letter_height,circle_radius
w,60,738,1880.0,1010.0,43.0,31.0,15.0
m,60,811,1870.0,1005.0,50.0,31.0,15.0
a,60,662,1885.0,1000.0,33.0,31.0,15.0
v,60,489,1890.0,1004.0,30.0,31.0,15.0
s,60,627,1890.0,1002.0,30.0,31.0,15.0
t,60,503,1904.0,1006.0,17.0,42.0,8.0
d,60,736,1893.0,1010.0,33.0,43.0,16.0
h,60,656,1893.0,1010.0,33.0,43.0,16.0
j,60,509,1908.0,999.0,16.0,55.0,8.0
