,font_size,pixel_count,horizontal_shift,vertical_shift,letter_width,letter_height,circle_radius
t,72,615,1903.0,995.0,20.0,52.0,10.0
d,53,618,1894.0,1020.0,29.0,38.0,14.0
h,58,622,1893.0,1018.0,32.0,42.0,16.0
j,72,615,1906.0,981.0,20.0,67.0,10.0
s,60,629,1894.0,1002.0,30.0,31.0,15.0
v,69,616,1890.0,1000.0,35.0,36.0,17.0
a,57,618,1888.0,1002.0,32.0,30.0,15.0
m,50,665,1880.0,1012.0,42.0,26.0,13.0
w,53,633,1883.0,1014.0,38.0,28.0,14.0
