,font_size,pixel_count,horizontal_shift,vertical_shift,letter_width,letter_height,circle_radius
t,60,261,270.0,240.0,17.0,42.0,8.0
h,60,432,260.0,240.0,33.0,43.0,16.0
d,60,505,260.0,240.0,33.0,43.0,16.0
j,60,265,287.0,230.0,16.0,55.0,8.0
s,60,402,267.0,230.0,30.0,31.0,15.0
v,60,309,275.0,230.0,30.0,31.0,15.0
a,60,466,265.0,230.0,33.0,31.0,15.0
m,60,597,250.0,230.0,50.0,31.0,15.0
w,60,557,258.0,230.0,43.0,31.0,15.0
